order_number,buyer,style_number,quantity,unit_price,total_amount,order_date,delivery_date,status
ORD-001,Fashion Forward Inc,STY-001,500,24.99,12495.00,2024-01-15,2024-02-28,completed
ORD-002,StyleHub Global,STY-004,200,129.99,25998.00,2024-01-20,2024-03-15,completed
ORD-003,TrendWear Ltd,STY-002,350,89.99,31496.50,2024-02-01,2024-03-20,completed
ORD-004,Pacific Apparel Co,STY-008,150,249.99,37498.50,2024-02-10,2024-04-01,completed
ORD-005,Nordic Fashion AS,STY-006,300,179.99,53997.00,2024-02-15,2024-04-10,completed
ORD-006,Coastal Brands LLC,STY-005,400,149.99,59996.00,2024-03-01,2024-04-15,completed
ORD-007,EuroStyle GmbH,STY-010,100,299.99,29999.00,2024-03-10,2024-05-01,completed
ORD-008,Fashion Forward Inc,STY-003,600,59.99,35994.00,2024-03-15,2024-05-10,shipped
ORD-009,Urban Threads Inc,STY-009,450,89.99,40495.50,2024-03-20,2024-05-15,shipped
ORD-010,Silk Road Fashion,STY-013,800,54.99,43992.00,2024-04-01,2024-05-30,shipped
ORD-011,Southern Hemisphere Co,STY-017,50,549.99,27499.50,2024-04-10,2024-06-15,pending
ORD-012,StyleHub Global,STY-021,180,189.99,34198.20,2024-04-15,2024-06-20,pending
ORD-013,TrendWear Ltd,STY-011,250,109.99,27497.50,2024-04-20,2024-06-25,pending
ORD-014,Coastal Brands LLC,STY-016,350,119.99,41996.50,2024-05-01,2024-07-01,pending
ORD-015,Fashion Forward Inc,STY-022,1000,29.99,29990.00,2024-05-10,2024-07-10,pending
ORD-016,Pacific Apparel Co,STY-018,200,139.99,27998.00,2024-05-15,2024-07-15,pending
ORD-017,EuroStyle GmbH,STY-025,80,399.99,31999.20,2024-05-20,2024-08-01,pending
ORD-018,Nordic Fashion AS,STY-019,300,219.99,65997.00,2024-06-01,2024-08-15,pending
ORD-019,Urban Threads Inc,STY-012,500,69.99,34995.00,2024-06-10,2024-08-20,pending
ORD-020,Silk Road Fashion,STY-007,400,79.99,31996.00,2024-06-15,2024-08-30,cancelled
